"Step","czert_lr2e-05_bs4_train287 - eval/f1","czert_lr2e-05_bs4_train287 - eval/f1__MIN","czert_lr2e-05_bs4_train287 - eval/f1__MAX","czert_lr2e-05_bs4_train150 - eval/f1","czert_lr2e-05_bs4_train150 - eval/f1__MIN","czert_lr2e-05_bs4_train150 - eval/f1__MAX","czert_lr2e-05_bs4_train75 - eval/f1","czert_lr2e-05_bs4_train75 - eval/f1__MIN","czert_lr2e-05_bs4_train75 - eval/f1__MAX","czert_lr2e-05_bs4_train30 - eval/f1","czert_lr2e-05_bs4_train30 - eval/f1__MIN","czert_lr2e-05_bs4_train30 - eval/f1__MAX","czert_lr2e-05_bs4_train5 - eval/f1","czert_lr2e-05_bs4_train5 - eval/f1__MIN","czert_lr2e-05_bs4_train5 - eval/f1__MAX"
"0","0.8245152022983002","0.8245152022983002","0.8245152022983002","0.7177579365079365","0.7177579365079365","0.7177579365079365","0.49512570548999485","0.49512570548999485","0.49512570548999485","0.1867762420620097","0.1867762420620097","0.1867762420620097","0.01895734597156398","0.01895734597156398","0.01895734597156398"
"1","0.8890999762526716","0.8890999762526716","0.8890999762526716","0.8502063607671764","0.8502063607671764","0.8502063607671764","0.7025143141647996","0.7025143141647996","0.7025143141647996","0.4265842349304483","0.4265842349304483","0.4265842349304483","0","0","0"
"2","0.9085095917363502","0.9085095917363502","0.9085095917363502","0.8815599422243621","0.8815599422243621","0.8815599422243621","0.7861931959274895","0.7861931959274895","0.7861931959274895","0.6122448979591837","0.6122448979591837","0.6122448979591837","0.0019258545979778526","0.0019258545979778526","0.0019258545979778526"
"3","0.9233734939759036","0.9233734939759036","0.9233734939759036","0.8872289156626505","0.8872289156626505","0.8872289156626505","0.8257464512971121","0.8257464512971121","0.8257464512971121","0.6893659018011349","0.6893659018011349","0.6893659018011349","0.06899601946041574","0.06899601946041574","0.06899601946041574"
"4","0.9246012566457226","0.9246012566457226","0.9246012566457226","0.8985297662087252","0.8985297662087252","0.8985297662087252","0.8510845722641969","0.8510845722641969","0.8510845722641969","0.7357055214723928","0.7357055214723928","0.7357055214723928","0.18288222384784197","0.18288222384784197","0.18288222384784197"
"5","0.9277049975739932","0.9277049975739932","0.9277049975739932","0.9011684518013633","0.9011684518013633","0.9011684518013633","0.8619512195121952","0.8619512195121952","0.8619512195121952","0.7611056268509376","0.7611056268509376","0.7611056268509376","0.26960629921259843","0.26960629921259843","0.26960629921259843"
"6","0.9288049975739932","","","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.8705882352941177","0.8705882352941177","0.8705882352941177","0.7867575462512172","0.7867575462512172","0.7867575462512172","0.31767614338689737","0.31767614338689737","0.31767614338689737"
"7","0.9304579597770778","0.9304579597770778","0.9304579597770778","0.9099780434252256","0.9099780434252256","0.9099780434252256","0.8730350665054414","0.8730350665054414","0.8730350665054414","0.8054953000723065","0.8054953000723065","0.8054953000723065","0.3408071748878924","0.3408071748878924","0.3408071748878924"
"8","0.9335909200676166","0.9335909200676166","0.9335909200676166","0.9090469279148524","0.9090469279148524","0.9090469279148524","0.8822115384615384","0.8822115384615384","0.8822115384615384","0.7970443349753694","0.7970443349753694","0.7970443349753694","0.37219876583306266","0.37219876583306266","0.37219876583306266"
"9","","","","0.9105454545454545","0.9105454545454545","0.9105454545454545","0.8753328491890584","0.8753328491890584","0.8753328491890584","0.8147792706333972","0.8147792706333972","0.8147792706333972","0.40382165605095544","0.40382165605095544","0.40382165605095544"
"10","0.9258705895874038","0.9258705895874038","0.9258705895874038","","","","0.8729121278140886","0.8729121278140886","0.8729121278140886","0.8216560509554139","0.8216560509554139","0.8216560509554139","0.4457867713681667","0.4457867713681667","0.4457867713681667"
"11","","","","0.9048279048279049","0.9048279048279049","0.9048279048279049","0.8809756097560976","0.8809756097560976","0.8809756097560976","0.8219706094916887","0.8219706094916887","0.8219706094916887","0.4782732178358421","0.4782732178358421","0.4782732178358421"
"12","","","","","","","","","","0.818225650916104","0.818225650916104","0.818225650916104","0.5005446623093682","0.5005446623093682","0.5005446623093682"
"13","","","","","","","0.8866285714285715","0.8866285714285715","0.8866285714285715","0.8322376430484538","0.8322376430484538","0.8322376430484538","0.5167875369325812","0.5167875369325812","0.5167875369325812"
"14","","","","","","","","","","0.8341369334619094","0.8341369334619094","0.8341369334619094","0.5267952840300107","0.5267952840300107","0.5267952840300107"
"15","","","","","","","","","","","","","0.5385234899328858","0.5385234899328858","0.5385234899328858"
"16","","","","","","","","","","0.83074463225217","0.83074463225217","0.83074463225217","0.5464333781965006","0.5464333781965006","0.5464333781965006"
"17","","","","","","","","","","","","","0.5584030213110331","0.5584030213110331","0.5584030213110331"
"18","","","","","","","","","","","","","0.570660934981193","0.570660934981193","0.570660934981193"
"19","","","","","","","","","","","","","0.5750866897839424","0.5750866897839424","0.5750866897839424"
"20","","","","","","","","","","","","","0.5834658187599364","0.5834658187599364","0.5834658187599364"
"21","","","","","","","","","","","","","0.5919873484449132","0.5919873484449132","0.5919873484449132"
"22","","","","","","","","","","","","","0.5946939847649068","0.5946939847649068","0.5946939847649068"
"23","","","","","","","","","","","","","0.5968037725962797","0.5968037725962797","0.5968037725962797"
"24","","","","","","","","","","","","","0.5984251968503937","0.5984251968503937","0.5984251968503937"
"25","","","","","","","","","","","","","0.599894847528917","0.599894847528917","0.599894847528917"
"26","","","","","","","","","","","","","0.6029992107340173","0.6029992107340173","0.6029992107340173"
"27","","","","","","","","","","","","","0.6047856955035499","0.6047856955035499","0.6047856955035499"
"28","","","","","","","","","","","","","0.6038926880589165","0.6038926880589165","0.6038926880589165"
"29","","","","","","","","","","","","","0.604418726985797","0.604418726985797","0.604418726985797"
"31","","","","","","","","","","","","","0.6108838477748855","0.6108838477748855","0.6108838477748855"