"train/epoch","xlm-roberta_lr3e-05_bs16_train287 - _step","xlm-roberta_lr3e-05_bs16_train287 - _step__MIN","xlm-roberta_lr3e-05_bs16_train287 - _step__MAX","xlm-roberta_lr3e-05_bs16_train287 - eval/f1","xlm-roberta_lr3e-05_bs16_train287 - eval/f1__MIN","xlm-roberta_lr3e-05_bs16_train287 - eval/f1__MAX","robeczech_lr3e-05_bs16_train287 - _step","robeczech_lr3e-05_bs16_train287 - _step__MIN","robeczech_lr3e-05_bs16_train287 - _step__MAX","robeczech_lr3e-05_bs16_train287 - eval/f1","robeczech_lr3e-05_bs16_train287 - eval/f1__MIN","robeczech_lr3e-05_bs16_train287 - eval/f1__MAX"
"1","0","0","0","0.0009652509652509652","0.0009652509652509652","0.0009652509652509652","0","0","0","0.0408905043162199","0.0408905043162199","0.0408905043162199"
"2","1","1","1","0.705224787363305","0.705224787363305","0.705224787363305","1","1","1","0.6959036144578313","0.6959036144578313","0.6959036144578313"
"3","2","2","2","0.8691429958727847","0.8691429958727847","0.8691429958727847","2","2","2","0.791203479942001","0.791203479942001","0.791203479942001"
"4","3","3","3","0.9174757281553398","0.9174757281553398","0.9174757281553398","3","3","3","0.8886742332769861","0.8886742332769861","0.8886742332769861"
"5","4","4","4","0.9433688286544045","0.9433688286544045","0.9433688286544045","4","4","4","0.8966682761950748","0.8966682761950748","0.8966682761950748"
"6","5","5","5","0.9395551257253385","0.9395551257253385","0.9395551257253385","5","5","5","0.8973988439306357","0.8973988439306357","0.8973988439306357"
"7","6","6","6","0.95286439448876","0.95286439448876","0.95286439448876","6","6","6","0.9057239057239057","0.9057239057239057","0.9057239057239057"
"8","7","7","7","0.956248489243413","0.956248489243413","0.956248489243413","7","7","7","0.9282964388835419","0.9282964388835419","0.9282964388835419"
"9","8","8","8","0.9533252720677146","0.9533252720677146","0.9533252720677146","8","8","8","0.9359653346172363","0.9359653346172363","0.9359653346172363"
"10","9","9","9","0.9591688813723123","0.9591688813723123","0.9591688813723123","9","9","9","0.9382716049382716","0.9382716049382716","0.9382716049382716"
"11","11","10","12","0.9572693867801325","0.952402851230168","0.9621359223300971","10","10","10","0.9429676172063799","0.9429676172063799","0.9429676172063799"
"12","","","","","","","11","11","11","0.9364161849710981","0.9364161849710981","0.9364161849710981"
"13","","","","","","","12","12","12","0.9443907156673114","0.9443907156673114","0.9443907156673114"
"14","","","","","","","13","13","13","0.9470134874759153","0.9470134874759153","0.9470134874759153"
"15","","","","","","","14","14","14","0.9479768786127167","0.9479768786127167","0.9479768786127167"
"16","","","","","","","15","15","15","0.9452352231604343","0.9452352231604343","0.9452352231604343"
"17","","","","","","","16","16","16","0.9422565837158734","0.9422565837158734","0.9422565837158734"
"18","","","","","","","18","17","19","0.9494959434883277","0.9464027040077257","0.9525891829689297"