"train/epoch","xlm-roberta_lr3e-05_bs16_train287 - _step","xlm-roberta_lr3e-05_bs16_train287 - _step__MIN","xlm-roberta_lr3e-05_bs16_train287 - _step__MAX","xlm-roberta_lr3e-05_bs16_train287 - eval/f1","xlm-roberta_lr3e-05_bs16_train287 - eval/f1__MIN","xlm-roberta_lr3e-05_bs16_train287 - eval/f1__MAX"
"1","0","0","0","0.0009652509652509652","0.0009652509652509652","0.0009652509652509652"
"2","1","1","1","0.705224787363305","0.705224787363305","0.705224787363305"
"3","2","2","2","0.8691429958727847","0.8691429958727847","0.8691429958727847"
"4","3","3","3","0.9174757281553398","0.9174757281553398","0.9174757281553398"
"5","4","4","4","0.9433688286544045","0.9433688286544045","0.9433688286544045"
"6","5","5","5","0.9395551257253385","0.9395551257253385","0.9395551257253385"
"7","6","6","6","0.95286439448876","0.95286439448876","0.95286439448876"
"8","7","7","7","0.956248489243413","0.956248489243413","0.956248489243413"
"9","8","8","8","0.9533252720677146","0.9533252720677146","0.9533252720677146"
"10","9","9","9","0.9591688813723123","0.9591688813723123","0.9591688813723123"
"11","11","10","12","0.9572693867801325","0.952402851230168","0.9621359223300971"